file	sites	sites_coding	sites_noncoding	pi	pi_coding	pi_noncoding	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv	mean_gdiv	sites_polymorphic	mean_gdiv_coding_poly	sites_coding_poly	mean_gdiv_noncoding_poly	sites_noncoding_poly
temp_vcf4_19VR003464.vcf	1542	1497	45	2.6636637441714e-05	2.7437337966014e-05	0	1155.30668640513	338.661337281026	1.82578761473563e-05	5.89977252878605e-05	0.00259671309384943	0.0413690260558821	0.00216137328509552	0.0210903237506443	0.0199757686661706	2.66317071444974e-05	19	0.00216137328509552	19	*	0
temp_vcf4_19VR003468.vcf	1542	1497	45	0.000150231366262008	0.000154747339195736	0	1155.37698874947	338.623011250526	0.000172942162943909	9.40378245662195e-05	0.00268525250466276	0.0442185099992016	0.0092624616365597	0.0332899378975533	0.0318219135286724	0.000150169611487673	25	0.0092624616365597	25	*	0
temp_vcf4_19VR003542.vcf	1542	1497	45	0	0	0	1154.16666666667	339.833333333333	0	0	0	0.00294261893084846	0	*	*	0	1	0	1	*	0
temp_vcf4_19VR003675.vcf	1542	1497	45	8.07540074020738e-05	8.31814825744808e-05	0	1154.15104396794	339.848956032055	8.33949122222043e-05	8.31909408850998e-05	4.24204527600133e-05	0.00298462860827795	0.0248624821137962	0.0320256230397762	0.0282355414496527	8.06176462833861e-05	5	0.0248624821137963	5	*	0
temp_vcf4_19VR003676.vcf	1542	1497	45	0	0	0	1155.33333333333	338.666666666667	0	0	0.00259665320253895	0.0413385826771654	0	*	*	0	17	0	17	*	0
temp_vcf4_19VR003677.vcf	1542	1497	45	0	0	0	1154.16666666667	339.833333333333	0	0	0	0.00294261893084846	0	*	*	0	1	0	1	*	0
temp_vcf4_19VR003678.vcf	1542	1497	45	7.49915686390417e-05	7.72458242093536e-05	0	1155.33000949668	338.669990503324	7.56802311676758e-05	8.32709051245687e-05	0.00263534980935463	0.0413803874923977	0.00577792310215637	0.0436881515256877	0.0281821589917519	7.49406368632473e-05	20	0.00577792310215637	20	*	0
temp_vcf4_19VR003752.vcf	1542	1497	45	0	0	0	1153.33333333333	340.666666666666	0	0	0	0.0234833659491194	0	*	*	0	9	0	8	0	1
temp_vcf4_19VR003890.vcf	1542	1497	45	0	0	0	1155.33333333333	338.666666666667	0	0	0.00259665320253895	0.0442913385826772	0	*	*	0	18	0	18	*	0
temp_vcf4_19VR003891.vcf	1542	1497	45	0.000189440733549847	0.0001951353447788	0	1155.36511667551	338.634883324494	5.32444495347085e-05	0.00068097187513875	0.00262404139139018	0.044650864687045	0.0132548933217459	0.0614387126697415	0.076722980136223	0.000189110021451628	22	0.0132548933217459	22	*	0
