	index	contact	distance
229	19VR003000	19VR006520	97.91153344600204
230	19VR003000	19VR006679	21.41996837857076
231	19VR003000	19VR006682	6.541265363653776
232	19VR003000	19VR006818	19.373607570314306
233	19VR003000	19VR007032	98.91604542342655
234	19VR003000	19VR007126	11.4023127409624
235	19VR003000	19VR007190	11.76710013057006
236	19VR003000	19VR007191	22.209558180728727
237	19VR003000	19VR007270	20.773256238508488
238	19VR003000	19VR007359	12.086277534368968
239	19VR003000	19VR007474	8.646937729902243
240	19VR003000	19VR007493	11.503874089437886
241	19VR003000	19VR007606	27.687245336546557
242	19VR003000	19VR007749	20.630448627933788
243	19VR003000	19VR008338	22.173880413570686
244	19VR003000	19VR008902	95.36456113938424
245	19VR003000	19VR009188	88.89991432333505
246	19VR003002	19VR002740	88.14193275339437
247	19VR003002	19VR002744	87.35417628035714
248	19VR003002	19VR003000	89.2199804888613
249	19VR003002	19VR003004	88.2217806498254
250	19VR003002	19VR003005	87.55057642511989
251	19VR003002	19VR003124	89.13687818240334
252	19VR003002	19VR003216	88.76854802056772
253	19VR003002	19VR003219	88.89671162872321
254	19VR003002	19VR003231	90.49600695204298
255	19VR003002	19VR003237	87.57366550282512
256	19VR003002	19VR003316	88.52611894908011
257	19VR003002	19VR003317	86.88809103788228
258	19VR003002	19VR003373	90.07430019918723
259	19VR003002	19VR003464	261.6760098561292
260	19VR003002	19VR003468	266.4228809635345
261	19VR003002	19VR003542	90.1067901937092
262	19VR003002	19VR003675	91.86592446925951
263	19VR003002	19VR003676	261.31602153239305
264	19VR003002	19VR003677	92.24095260047726
265	19VR003002	19VR003678	248.41226562664733
266	19VR003002	19VR003752	27.68140222236343
267	19VR003002	19VR003890	265.05546766250984
268	19VR003002	19VR003891	265.7560455270242
269	19VR003002	19VR003895	91.19746435161255
270	19VR003002	19VR003909	90.3289079513439
271	19VR003002	19VR003913	90.28470771511351
272	19VR003002	19VR003920	92.72463574369358
273	19VR003002	19VR004002	261.5300403038402
274	19VR003002	19VR004328	59.14328601485983
275	19VR003002	19VR004453	97.59485820822428
276	19VR003002	19VR004454	98.6177305559788
277	19VR003002	19VR004455	141.75222530222482
278	19VR003002	19VR004458	97.27956878640249
279	19VR003002	19VR004462	89.49351666496261
280	19VR003002	19VR004469	90.28114983637539
281	19VR003002	19VR004555	89.85127401955239
282	19VR003002	19VR004571	97.31179957734564
283	19VR003002	19VR004578	97.14103698353873
284	19VR003002	19VR004702	97.19539362628964
285	19VR003002	19VR004825	97.1169812583154
286	19VR003002	19VR005044	95.05328896632001
287	19VR003002	19VR005160	89.32677649461972
288	19VR003002	19VR005334	97.88407054553885
289	19VR003002	19VR005339	95.15464762111476
290	19VR003002	19VR005340	20.31759345631932
291	19VR003002	19VR005507	24.46858488298113
292	19VR003002	19VR005510	88.24603926998999
293	19VR003002	19VR005511	94.36468482251354
294	19VR003002	19VR005512	94.78580333574261
295	19VR003002	19VR005517	90.69604610882679
296	19VR003002	19VR005524	88.37195452349954
297	19VR003002	19VR005611	88.51743291210227
298	19VR003002	19VR005613	97.23627473434156
299	19VR003002	19VR005785	88.39202800634145
300	19VR003002	19VR005799	87.49633152985044
301	19VR003002	19VR005803	88.50932910684978
302	19VR003002	19VR005806	96.0236661700416
303	19VR003002	19VR005946	39.384381440070996
304	19VR003002	19VR005949	95.36427563729637
305	19VR003002	19VR006103	89.15024820864457
306	19VR003002	19VR006108	96.46212603766143
307	19VR003002	19VR006112	89.37426905176012
308	19VR003002	19VR006113	89.58430446586517
309	19VR003002	19VR006329	94.17410603387457
310	19VR003002	19VR006332	89.63224124213686
